% Time	SBX	SBY	SBZ	FRX	FRY	FRZ	FLX	FLY	FLZ	WRX	WRY	WRZ	WLX	WLY	WLZ	head x	head y	head z	hip x	hip y	hip z	³ß		diff z	diff y	slope
0.034	0.1616	0.5216	3.8358	0.0968	0.1214	3.3876	0.0586	-0.0354	3.7812	-0.0627	0.6038	3.4718	-0.2883	0.8172	3.7706	0.0381	1.0257	3.4092	0.1074	0.5193	3.7936	0		0.3844	0.5064	37.20154184
0.067	0.1593	0.5211	3.8359	0.1192	0.0926	3.39	0.0748	0.0094	3.7349	-0.0628	0.6017	3.4714	-0.2863	0.8209	3.775	0.0374	1.0249	3.4099	0.1065	0.5194	3.794	0		0.3841	0.5055	37.22908584
0.1	0.1555	0.5181	3.8351	0.1073	0.1064	3.3629	0.0857	-0.0037	3.7281	-0.0629	0.5984	3.4696	-0.2867	0.8206	3.7732	0.0374	1.0285	3.406	0.1027	0.5175	3.7932	0		0.3872	0.511	37.15229906
0.134	0.153	0.5179	3.8343	0.0401	0.1813	3.3155	0.0243	-0.0021	3.7954	-0.0631	0.6004	3.47	-0.2891	0.8164	3.7657	0.0374	1.0278	3.4054	0.0986	0.5186	3.7933	0		0.3879	0.5092	37.29954081
0.167	0.1557	0.5174	3.834	0.0593	0.1592	3.3359	0.0237	0.0601	3.7861	0.0686	0.678	3.5138	-0.2857	0.8197	3.772	0.0371	1.0261	3.4045	0.1004	0.518	3.7928	0		0.3883	0.5081	37.38777302
0.2	0.1573	0.5168	3.8391	0.0629	0.1508	3.344	0.047	0.0184	3.7617	0.0697	0.6782	3.516	-0.2046	0.8901	3.8615	0.0356	1.0231	3.4009	0.1038	0.5181	3.806	0		0.4051	0.505	38.73582664
0.234	0.1701	0.5183	3.8372	0.1344	0.0152	3.7429	0.0496	0.0168	3.7624	0.0542	0.6453	3.5095	-0.204	0.8859	3.8608	0.0319	1.0216	3.3949	0.1105	0.5191	3.8054	0		0.4105	0.5025	39.24591626
0.267	0.1742	0.5172	3.8348	0.1345	0.0133	3.7436	0.0477	0.012	3.7598	0.069	0.6805	3.518	-0.2039	0.8831	3.8589	0.0302	1.0156	3.3904	0.1169	0.5168	3.8002	0		0.4098	0.4988	39.40555946
0.3	0.1775	0.5136	3.8311	0.1351	0.0096	3.7414	0.0523	0.0163	3.7689	-0.059	0.5869	3.4675	-0.2036	0.8861	3.8673	0.025	1.0123	3.3852	0.1213	0.5107	3.7921	0		0.4069	0.5016	39.04910766
0.334	0.1782	0.5139	3.8305	0.133	0.0132	3.7478	0.0578	0.0327	3.7841	-0.0567	0.5768	3.4651	-0.2014	0.8906	3.8677	0.0211	1.0078	3.3797	0.1235	0.5116	3.7899	0		0.4102	0.4962	39.57995346
0.367	0.1772	0.5125	3.8284	0.1358	0.0152	3.7529	0.0471	0.0197	3.7705	-0.0583	0.5794	3.4673	-0.2033	0.8902	3.8671	0.0154	1.0032	3.3773	0.1221	0.5109	3.789	0		0.4117	0.4923	39.905021
0.4	0.1771	0.5125	3.8283	0.1325	0.0058	3.7389	0.0464	0.015	3.7671	-0.0591	0.5792	3.4675	-0.2054	0.8893	3.8656	0.0088	1.0001	3.3684	0.1211	0.5104	3.7892	0		0.4208	0.4897	40.6725209
0.434	0.1775	0.5064	3.8235	0.1361	-0.0086	3.7349	0.0351	0.0056	3.7588	-0.097	0.5621	3.4628	-0.2074	0.89	3.8686	0.0076	0.9958	3.3619	0.1211	0.5025	3.7832	0		0.4213	0.4933	40.49879098
0.467	0.1759	0.5022	3.8189	0.1364	-0.0149	3.723	0.0329	0.0034	3.7572	-0.0777	0.5739	3.4615	-0.2071	0.8892	3.8658	0.0088	0.9881	3.3615	0.1199	0.4994	3.7797	0		0.4182	0.4887	40.55491774
0.5	0.176	0.5016	3.8179	0.1295	-0.0084	3.7184	0.0347	0.0036	3.7582	-0.0752	0.5751	3.4628	-0.2072	0.889	3.8656	0.0223	0.9709	3.3885	0.12	0.4992	3.7796	0		0.3911	0.4717	39.66310116
0.534	0.1774	0.4989	3.8166	0.1298	-0.0022	3.7279	0.0356	0.0042	3.7592	-0.0707	0.5728	3.4644	-0.2962	0.8323	3.8	0.0115	0.9711	3.373	0.1226	0.4966	3.7787	0		0.4057	0.4745	40.53061691
0.567	0.1769	0.498	3.8159	0.1337	0.0011	3.7331	0.0384	0.0203	3.7776	0.0648	0.6649	3.5104	-0.2987	0.831	3.7978	0.0086	0.9648	3.3717	0.1225	0.4954	3.7775	0		0.4058	0.4694	40.843673
0.6	0.1767	0.4966	3.8166	0.1379	-0.0013	3.7287	0.0387	0.0254	3.7785	0.0446	0.6432	3.5069	-0.2993	0.8305	3.797	0.0161	0.9588	3.3799	0.1176	0.4881	3.7688	0		0.3889	0.4707	39.56407166
0.634	0.1777	0.4976	3.8148	0.1368	0.004	3.7187	0.0183	0.0089	3.7712	0.0565	0.6651	3.5102	-0.3103	0.8164	3.7778	0.01	0.957	3.3711	0.1207	0.4904	3.7668	0		0.3957	0.4666	40.29960169
0.667	0.1765	0.4974	3.8143	0.1367	0.0014	3.7181	0.056	0.0173	3.7894	-0.0174	0.5788	3.4523	-0.3225	0.7909	3.7404	0.0107	0.9568	3.3705	0.1204	0.4901	3.7658	0		0.3953	0.4667	40.26496384
0.7	0.1767	0.4945	3.8131	0.1375	-0.0014	3.7112	0.0666	0.019	3.7968	-0.0262	0.5703	3.457	-0.3164	0.8048	3.7657	0.006	0.9367	3.3677	0.1226	0.4885	3.7646	0		0.3969	0.4482	41.52624399
0.734	0.177	0.4838	3.8064	0.1377	-0.006	3.7029	0.0647	0.0195	3.7958	-0.0293	0.5748	3.4542	-0.3057	0.8081	3.7732	0.0026	0.944	3.3523	0.128	0.4786	3.7564	0		0.4041	0.4654	40.96730346
0.767	0.1808	0.4822	3.8065	0.1359	-0.0063	3.7049	0.0641	0.0214	3.7946	-0.0199	0.5724	3.4529	-0.3092	0.8091	3.7744	0.0001	0.9243	3.3416	0.1356	0.476	3.7575	0		0.4159	0.4483	42.85291112
0.8	0.1829	0.4634	3.8052	0.1298	-0.0089	3.6749	0.0591	0.0304	3.7978	-0.0147	0.575	3.4489	-0.3004	0.8103	3.7699	0.0027	0.9268	3.333	0.1396	0.4617	3.7699	0		0.4369	0.4651	43.20929616
0.834	0.1963	0.4977	3.7819	0.1455	0.0232	3.7693	0.0412	-0.0288	3.7506	-0.0405	0.5678	3.45	-0.2871	0.8118	3.7537	0.0101	0.9109	3.3448	0.1696	0.4685	3.6586	0		0.3138	0.4424	35.34856729
0.867	0.1893	0.4989	3.7786	0.0126	0.2199	3.756	0.0385	-0.0295	3.7508	-0.0145	0.5719	3.4352	-0.3031	0.8122	3.7611	-0.0009	0.9169	3.3173	0.1608	0.4708	3.6584	0		0.3411	0.4461	37.40249613
0.9	0.1734	0.4873	3.7697	0.0139	0.2092	3.7483	0.0445	-0.034	3.7452	-0.013	0.5727	3.4339	-0.2695	0.8715	3.8492	-0.0012	0.9055	3.2953	0.1358	0.4653	3.6583	0		0.363	0.4402	39.50985025
0.934	0.1738	0.4866	3.7497	-0.0108	0.2514	3.7831	0.0603	0.0044	3.8662	-0.0131	0.5807	3.4274	-0.268	0.8632	3.85	-0.0152	0.9022	3.2704	0.1402	0.4657	3.6389	0		0.3685	0.4365	40.17157076
0.967	0.1748	0.4845	3.746	-0.0089	0.2497	3.7772	0.0801	0.057	3.8159	-0.0131	0.5759	3.4241	-0.2717	0.8596	3.8504	-0.0177	0.8914	3.2624	0.1421	0.4658	3.638	0		0.3756	0.4256	41.42900822
1	0.1701	0.4849	3.7416	-0.019	0.2298	3.8025	0.0824	0.0714	3.7788	-0.0175	0.5709	3.4135	-0.2698	0.8586	3.8488	-0.0169	0.8805	3.2411	0.1398	0.4663	3.6352	0		0.3941	0.4142	43.57551914
1.034	0.1706	0.4908	3.7354	-0.0305	0.2177	3.7786	0.064	-0.0322	3.8454	0.0034	0.5398	3.4073	-0.2764	0.8592	3.8433	-0.0188	0.8838	3.2347	0.1455	0.4719	3.6251	0		0.3904	0.4119	43.46495761
1.067	0.1587	0.5228	3.7013	-0.038	0.2773	3.7871	0.071	0.0467	3.8893	-0.0125	0.5639	3.3947	-0.305	0.7442	3.6722	-0.0107	0.8805	3.2091	0.144	0.4966	3.5724	0		0.3633	0.3839	43.4207787
1.1	0.1557	0.5186	3.7022	-0.0266	0.2652	3.7836	0.08	0.0466	3.8926	-0.0024	0.5692	3.3832	-0.3093	0.7614	3.6835	-0.0046	0.8846	3.1754	0.1073	0.5012	3.6468	0		0.4714	0.3834	50.87778276
1.134	0.1493	0.5204	3.7042	-0.0244	0.2706	3.787	0.0654	0.0067	3.8739	0.0671	0.6829	3.5957	-0.3976	0.7235	3.6732	-0.0345	0.8857	3.141	0.0978	0.5163	3.6591	0		0.5181	0.3694	54.5115193
1.167	0.147	0.5353	3.693	0.1758	-0.0559	3.8138	0.0686	0.0177	3.8807	0.2515	0.7827	3.6252	-0.3902	0.7441	3.5953	-0.0268	0.8868	3.151	0.0997	0.5711	3.699	0		0.548	0.3157	60.05397525
1.2	0.2238	0.7995	3.6876	0.1628	-0.0198	3.8095	0.0905	0.2532	3.9316	0.2582	0.7936	3.6073	-0.41	0.7384	3.5796	-0.0055	0.9081	3.1034	0.1751	0.8353	3.6953	0		0.5919	0.0728	82.98819272
1.234	0.0935	0.6118	3.6797	0.1232	-0.0227	3.8243	0.0979	0.0206	3.8196	0.2629	0.7833	3.5988	-0.382	0.7542	3.6079	-0.0143	0.9112	3.1078	0.0445	0.6301	3.6716	0		0.5638	0.2811	63.50002528
1.267	0.0683	0.5735	3.648	0.1435	-0.0421	3.7978	0.1641	-0.0597	3.7694	0.271	0.8651	3.5755	-0.3522	0.7699	3.5142	-0.0136	0.9156	3.1026	0.0105	0.5931	3.6317	0		0.5291	0.3225	58.63662259
1.3	0.0895	0.6477	3.6352	0.1406	-0.0226	3.8318	0.0319	0.0181	3.8513	0.1414	0.5914	3.2505	-0.3379	0.7674	3.475	-0.0264	0.9381	2.9891	0.0287	0.6657	3.6084	0		0.6193	0.2724	66.2576369
1.334	0.1005	0.5836	3.59	0.1426	-0.0079	3.8098	0.0384	0.0047	3.8591	0.1699	0.5814	3.234	-0.3001	0.7623	3.4569	-0.0092	0.9551	2.9776	0.0386	0.582	3.5521	0		0.5745	0.3731	56.9989241
1.367	0.1174	0.6343	3.5394	0.1427	0.0026	3.8108	0.0442	0.0197	3.8527	0.2263	0.5957	3.2263	-0.251	0.7917	3.4369	0.0004	0.9698	2.9601	0.0586	0.6397	3.5137	0		0.5536	0.3301	59.19326793
1.4	0.0995	0.7174	3.5622	0.172	0.0002	3.7967	0.0265	0.0839	3.8176	0.2442	0.5894	3.1716	-0.2355	0.7611	3.3902	0.0221	0.9974	2.9013	0.031	0.7305	3.5376	0		0.6363	0.2669	67.2440833
1.434	0.0882	0.7054	3.5498	0.1614	-0.0029	3.7989	-0.0943	0.2851	3.9018	0.2834	0.6037	3.1364	-0.215	0.7585	3.3758	0.031	1.0089	2.9017	0.0166	0.7091	3.5155	0		0.6138	0.2998	63.96760342
1.467	0.1065	0.7235	3.532	0.1688	0.0141	3.7872	-0.093	0.2815	3.9101	0.3122	0.6062	3.0954	-0.1776	0.7739	3.3493	0.057	1.0264	2.8839	0.0362	0.7272	3.5021	0		0.6182	0.2992	64.17367868
1.5	0.0812	0.68	3.4747	0.1719	-0.0108	3.7886	-0.0928	0.2796	3.9112	0.3412	0.6514	3.0816	-0.1556	0.7567	3.3268	0.0628	1.0447	2.8724	0.0135	0.6772	3.434	0		0.5616	0.3675	56.80005302
1.534	0.088	0.6784	3.4607	0.1793	-0.0094	3.7847	0.1319	0.4126	3.7862	0.3467	0.6426	3.0496	-0.1322	0.7543	3.3067	0.0847	1.06	2.8428	0.0192	0.6747	3.4195	0		0.5767	0.3853	56.25265275
1.567	0.1004	0.6823	3.4162	0.1752	0.0047	3.7748	0.1072	0.4124	3.7691	0.3555	0.6303	3.0048	-0.1073	0.7441	3.2843	0.0925	1.0679	2.8345	0.0316	0.6854	3.3933	0		0.5588	0.3825	55.60826205
1.6	0.1104	0.6959	3.4147	0.1904	0.0312	3.7488	0.11	0.4153	3.7617	0.3596	0.633	2.9978	-0.0955	0.7481	3.2729	0.1012	1.0789	2.8314	0.0444	0.704	3.3893	0		0.5579	0.3749	56.09952185
1.634	0.1196	0.693	3.3988	0.1661	0.0359	3.7461	0.1432	0.4398	3.7265	0.367	0.6364	2.9819	-0.0836	0.7437	3.2567	0.1065	1.0843	2.8299	0.0541	0.6994	3.3729	0		0.543	0.3849	54.66946874
1.667	0.1282	0.6996	3.3937	0.1632	0.0161	3.7211	0.0084	0.1617	3.8539	0.3719	0.638	2.9736	-0.0642	0.6984	3.2253	0.1111	1.0894	2.8294	0.0621	0.7029	3.3667	0		0.5373	0.3865	54.2711223
1.7	0.134	0.7025	3.3876	0.1592	0.0184	3.7202	0.005	0.1655	3.8116	0.3809	0.6405	2.9591	-0.0636	0.6966	3.2216	0.1172	1.0981	2.8243	0.0681	0.7039	3.3581	0		0.5338	0.3942	53.5549171
1.734	0.1406	0.7004	3.3696	0.2037	0.0359	3.7488	0.014	0.1677	3.8208	0.3826	0.6392	2.9532	-0.0547	0.6647	3.1922	0.1213	1.1021	2.8204	0.0752	0.6986	3.3368	0		0.5164	0.4035	51.9969616
1.767	0.1446	0.7033	3.3637	0.2065	0.0369	3.7414	0.0169	0.1208	3.7828	0.3849	0.6395	2.9479	-0.0562	0.6807	3.198	0.1241	1.1041	2.8179	0.0788	0.7016	3.3319	0		0.514	0.4025	51.93643013
1.8	0.1489	0.6834	3.3324	0.2075	0.0319	3.7346	0.0319	0.1043	3.7457	0.3859	0.6387	2.946	-0.0558	0.68	3.1969	0.1276	1.108	2.8114	0.0833	0.6825	3.3005	0		0.4891	0.4255	48.97786451
1.834	0.1517	0.6855	3.3319	0.2062	0.0316	3.7319	0.0456	0.1041	3.7093	0.3868	0.6357	2.9427	-0.0565	0.6764	3.19	0.1337	1.1159	2.7954	0.0859	0.6852	3.2992	0		0.5038	0.4307	49.4727769
1.867	0.1541	0.6849	3.3198	0.1848	0.0299	3.7182	0.047	0.1248	3.6589	0.3877	0.635	2.9408	-0.0618	0.6622	3.1772	0.1355	1.1181	2.7854	0.088	0.6827	3.285	0		0.4996	0.4354	48.92794075
1.9	0.1561	0.683	3.3114	0.1848	0.0329	3.7141	0.0086	0.1232	3.6238	0.389	0.6323	2.9379	-0.0665	0.6564	3.1678	0.1364	1.1172	2.7789	0.0894	0.6817	3.2794	0		0.5005	0.4355	48.97249594
1.934	0.1556	0.6816	3.3069	0.1782	0.0329	3.7119	0.0834	0.1027	3.5877	0.3902	0.63	2.9375	-0.0709	0.6393	3.1381	0.1372	1.1159	2.774	0.0887	0.6812	3.2742	0		0.5002	0.4347	49.00764916
1.967	0.1547	0.68	3.2999	0.1814	0.0271	3.7028	0.0031	0.129	3.5517	0.3948	0.6158	2.9385	-0.0738	0.6373	3.136	0.1357	1.1133	2.7629	0.0876	0.6804	3.2661	0		0.5032	0.4329	49.29478326
2	0.1549	0.6793	3.2945	0.167	0.0339	3.7049	0.0405	0.1368	3.5053	0.3958	0.602	2.9357	-0.0804	0.631	3.1255	0.1336	1.1077	2.7536	0.0875	0.6803	3.2609	0		0.5073	0.4274	49.88587872
2.034	0.1559	0.6797	3.2903	0.1908	0.0516	3.721	0.0398	0.0874	3.4654	0.3981	0.5966	2.934	-0.0893	0.623	3.1081	0.1331	1.1036	2.7466	0.0882	0.6808	3.2563	0		0.5097	0.4228	50.3240371
2.067	0.1533	0.6741	3.2764	0.1894	0.0514	3.715	0.0261	0.0342	3.3807	0.402	0.5961	2.9302	-0.0948	0.617	3.0996	0.1303	1.0959	2.7294	0.0846	0.6751	3.2405	0		0.5111	0.4208	50.53461375
2.1	0.1489	0.664	3.2615	0.1667	0.0511	3.7094	0.0197	0.0202	3.3646	0.4029	0.5827	2.929	-0.1009	0.609	3.0865	0.1283	1.091	2.7242	0.0799	0.6642	3.2247	0		0.5005	0.4268	49.54420494
2.134	0.145	0.6585	3.2506	0.166	0.0542	3.7045	0.0194	0.0027	3.3081	0.4021	0.5757	2.9284	-0.105	0.6036	3.0816	0.122	1.0813	2.7059	0.076	0.6588	3.2159	0		0.51	0.4225	50.36058343
2.167	0.1403	0.6262	3.2108	0.1548	0.0448	3.6877	0.0054	-0.0142	3.2941	0.4009	0.5691	2.9265	-0.1123	0.5944	3.0678	0.1169	1.0719	2.6961	0.0726	0.6247	3.1769	0		0.4808	0.4472	47.07359656
2.2	0.1387	0.6232	3.2063	0.1548	0.0445	3.6828	0.0017	-0.0353	3.2475	0.3988	0.5626	2.9259	-0.1216	0.581	3.0425	0.1134	1.0624	2.6801	0.0705	0.6205	3.1718	0		0.4917	0.4419	48.05337209
2.234	0.1375	0.6207	3.2018	0.153	0.0295	3.6651	-0.0017	-0.0557	3.2304	0.3987	0.5591	2.9186	-0.1238	0.5733	3.0399	0.1072	1.0536	2.6643	0.0688	0.6183	3.1679	0		0.5036	0.4353	49.16063562
2.267	0.1276	0.6017	3.177	0.1803	0.0476	3.6738	-0.0031	-0.0584	3.2257	0.3965	0.5424	2.9158	-0.1303	0.5568	3.0336	0.097	1.0407	2.6477	0.0584	0.5969	3.1416	0		0.4939	0.4438	48.05832549
2.3	0.1244	0.5976	3.17	0.1571	0.038	3.6546	-0.0036	-0.06	3.2219	0.3927	0.5378	2.9094	-0.1358	0.5471	3.0181	0.0917	1.031	2.6338	0.0558	0.5946	3.1377	0		0.5039	0.4364	49.10596867
2.334	0.1216	0.5931	3.1573	0.1644	0.0404	3.6483	-0.0025	-0.0669	3.2181	0.3866	0.5303	2.9018	-0.1478	0.5259	2.9969	0.0813	1.013	2.6124	0.0527	0.5892	3.1256	0		0.5132	0.4238	50.45014305
2.367	0.109	0.5821	3.1288	0.1742	0.046	3.6373	-0.0027	-0.0681	3.2152	0.3848	0.5281	2.8969	-0.1583	0.5182	2.9757	0.0692	1.0057	2.5864	0.0394	0.5782	3.0966	0		0.5102	0.4275	50.04013284
2.4	0.1062	0.5807	3.1153	0.1658	0.0663	3.6444	-0.003	-0.0715	3.2139	0.3825	0.5275	2.8853	-0.1694	0.5046	2.9481	0.0553	0.9904	2.559	0.0367	0.5765	3.0835	0		0.5245	0.4139	51.72188118
2.434	0.094	0.5745	3.0747	0.1728	0.0427	3.5912	-0.0031	-0.072	3.2135	0.3804	0.5341	2.8776	-0.1749	0.5017	2.9387	0.0416	0.9911	2.5303	0.0249	0.5694	3.0464	0		0.5161	0.4217	50.74809512
2.467	0.0893	0.5709	3.0441	0.1698	0.0572	3.5777	-0.0042	-0.0471	3.1873	0.3769	0.5491	2.8561	-0.1906	0.4992	2.9073	0.0268	0.9908	2.4913	0.02	0.564	3.0117	0		0.5204	0.4268	50.6435077
2.5	0.0843	0.5765	3.0117	0.1987	0.0748	3.5489	-0.0053	-0.0473	3.184	0.3752	0.5588	2.8386	-0.1991	0.4964	2.8768	0.0169	0.9906	2.4608	0.0159	0.5696	2.9839	0		0.5231	0.421	51.17228274
2.534	0.0735	0.5798	2.9797	0.1969	0.0669	3.5134	-0.0067	-0.0414	3.1748	0.3724	0.5722	2.8193	-0.2054	0.5079	2.8514	0.0038	0.9932	2.4197	0.0039	0.5727	2.9469	0		0.5272	0.4205	51.42378673
2.567	0.0662	0.5863	2.9592	0.1891	0.0677	3.4848	-0.0084	-0.0427	3.1695	0.3723	0.5772	2.8003	-0.2152	0.5078	2.8204	-0.0017	0.9954	2.4029	-0.0034	0.5761	2.9259	0		0.523	0.4193	51.2801221
2.6	0.0579	0.6064	2.9407	0.1647	0.0551	3.405	-0.0091	-0.0417	3.1673	0.3683	0.5885	2.7799	-0.2186	0.5225	2.7932	-0.0088	0.992	2.3949	-0.0111	0.595	2.9085	0		0.5136	0.397	52.29687066
2.634	0.0521	0.5909	2.8889	0.1661	0.0739	3.3464	-0.0104	-0.04	3.1638	0.359	0.5985	2.7548	-0.2326	0.5191	2.7676	-0.0114	1.0119	2.3438	-0.0173	0.5798	2.8561	0		0.5123	0.4321	49.85400559
2.667	0.0479	0.593	2.8786	0.1804	0.0665	3.2893	-0.0117	-0.0373	3.1589	0.3535	0.6012	2.7391	-0.2398	0.5233	2.7388	-0.0126	1.0138	2.3354	-0.0214	0.5816	2.8463	0		0.5109	0.4322	49.77017777
2.7	0.0372	0.5947	2.8528	0.18	0.0613	3.2593	-0.0121	-0.0386	3.1594	0.3475	0.6033	2.7222	-0.2445	0.5246	2.7209	-0.0141	1.0206	2.3141	-0.0329	0.5831	2.8186	0		0.5045	0.4375	49.06832647
2.734	0.0333	0.5963	2.84	0.163	0.0674	3.2242	-0.0123	-0.0384	3.1583	0.3378	0.6054	2.7034	-0.2541	0.5178	2.6894	-0.0133	1.0217	2.3077	-0.0365	0.5843	2.8048	0		0.4971	0.4374	48.65534088
2.767	0.0312	0.5935	2.8222	0.1591	0.0385	3.197	-0.0131	-0.0355	3.1542	0.3327	0.6058	2.6939	-0.2588	0.5107	2.6749	-0.0135	1.0254	2.2982	-0.0385	0.5801	2.7855	0		0.4873	0.4453	47.57859514
2.8	0.0247	0.5919	2.8076	0.1389	0.0171	3.1671	-0.0159	-0.0231	3.139	0.3243	0.6011	2.6806	-0.2621	0.5065	2.6392	-0.0123	1.026	2.2881	-0.0449	0.5785	2.7713	0		0.4832	0.4475	47.19668746
2.834	0.0177	0.5922	2.7896	0.1262	-0.0083	3.13	-0.0158	-0.042	3.1625	0.3129	0.605	2.6634	-0.2614	0.4967	2.6136	-0.0119	1.0268	2.2773	-0.0516	0.579	2.7528	0		0.4755	0.4478	46.71842
2.867	0.0134	0.59	2.7764	0.1103	-0.0017	3.1047	-0.0215	-0.0107	3.1229	0.3069	0.6022	2.6578	-0.2611	0.4949	2.5962	-0.0107	1.0278	2.2655	-0.0558	0.5775	2.7403	0		0.4748	0.4503	46.51704524
2.9	0.0114	0.5897	2.7691	0.1025	-0.0338	3.0766	-0.0183	-0.0114	3.1218	0.3005	0.6005	2.6524	-0.2568	0.4856	2.5693	-0.0101	1.0274	2.2595	-0.0579	0.5776	2.7326	0		0.4731	0.4498	46.446211
2.934	0.0087	0.5878	2.7597	0.103	-0.0694	3.0534	-0.021	-0.0087	3.1223	0.2924	0.5951	2.6478	-0.2555	0.4808	2.554	-0.0077	1.0237	2.2512	-0.0606	0.5765	2.7229	0		0.4717	0.4472	46.52727621
2.967	0.0077	0.5807	2.7456	0.1047	-0.0946	3.0381	-0.021	-0.0087	3.122	0.2847	0.5899	2.6432	-0.2515	0.4733	2.5356	-0.0071	1.0211	2.2438	-0.0613	0.5702	2.7097	0		0.4659	0.4509	45.93734731
3	0.006	0.5738	2.7333	0.094	-0.1266	3.0082	-0.0204	-0.0184	3.1315	0.2773	0.583	2.6391	-0.2462	0.4653	2.5192	-0.0057	1.0171	2.2342	-0.0629	0.5637	2.697	0		0.4628	0.4534	45.58782082
3.034	0.0078	0.5649	2.7203	0.0912	-0.1374	3.0046	-0.0203	-0.02	3.1327	0.2695	0.5754	2.6353	-0.2404	0.4579	2.5052	-0.0043	1.0141	2.2239	-0.0614	0.5563	2.685	0		0.4611	0.4578	45.20576261
3.067	0.0103	0.5568	2.7069	0.0881	-0.1501	2.9946	-0.0203	-0.0212	3.1333	0.2667	0.568	2.6312	-0.2348	0.4517	2.4926	-0.0033	1.0109	2.2148	-0.0591	0.5495	2.6721	0		0.4573	0.4614	44.74430049
3.1	0.0125	0.5466	2.6942	0.0874	-0.1545	2.9954	-0.0205	-0.0204	3.1313	0.2611	0.5567	2.6205	-0.2297	0.4467	2.4862	-0.002	1.0078	2.2059	-0.0566	0.5381	2.6575	0		0.4516	0.4697	43.87450318
3.134	0.0145	0.5386	2.6828	0.0874	-0.1586	2.9946	-0.0207	-0.0161	3.1214	0.2622	0.5465	2.6167	-0.2253	0.4426	2.4812	0.0018	1.0048	2.1974	-0.0551	0.5312	2.6469	0		0.4495	0.4736	43.50447981
3.167	0.0185	0.5324	2.6727	0.0881	-0.1608	2.9923	-0.0213	-0.0154	3.118	0.2639	0.5384	2.6099	-0.2187	0.4397	2.4764	0.0041	1.0009	2.1864	-0.0513	0.5243	2.6375	0		0.4511	0.4766	43.42548822
3.2	0.02	0.5202	2.6555	0.0883	-0.1641	2.9934	-0.022	-0.0067	3.0938	0.2655	0.5247	2.5963	-0.2117	0.4373	2.4712	0.0086	0.9974	2.1789	-0.0497	0.5129	2.6205	0		0.4416	0.4845	42.34776693
3.234	0.0205	0.5155	2.6469	0.0857	-0.1707	2.9855	-0.024	-0.0037	3.0836	0.2702	0.5151	2.5847	-0.2036	0.4347	2.4679	0.0134	0.9947	2.1699	-0.0494	0.5086	2.6114	0		0.4415	0.4861	42.24727758
3.267	0.022	0.5101	2.6349	0.0878	-0.1692	2.9833	-0.0238	0.001	3.0663	0.2747	0.5051	2.5704	-0.1987	0.4339	2.4666	0.0185	0.9912	2.1608	-0.0476	0.503	2.5987	0		0.4379	0.4882	41.89110379
3.3	0.0248	0.5011	2.6213	0.0884	-0.1698	2.9828	-0.0244	0.0012	3.0512	0.2806	0.4942	2.5567	-0.192	0.4326	2.4653	0.025	0.9859	2.1519	-0.0442	0.4929	2.5838	0		0.4319	0.493	41.22046397
3.334	0.0268	0.4954	2.6162	0.0903	-0.1681	2.9877	-0.0229	-0.0146	3.0691	0.2855	0.4793	2.5423	-0.1866	0.4311	2.4648	0.0309	0.9804	2.1461	-0.0425	0.4887	2.5796	0		0.4335	0.4917	41.40053357
3.367	0.0306	0.4878	2.6082	0.0913	-0.1639	2.9832	-0.0219	-0.0145	3.0553	0.2901	0.4711	2.5332	-0.183	0.4303	2.464	0.0372	0.9761	2.1361	-0.039	0.4826	2.5719	0		0.4358	0.4935	41.44708064
3.4	0.0322	0.4854	2.6043	0.0923	-0.1622	2.9836	-0.0203	-0.0192	3.0363	0.2946	0.4612	2.5173	-0.1817	0.4301	2.4652	0.0447	0.9691	2.1239	-0.0374	0.4807	2.5682	0		0.4443	0.4884	42.29295221
3.434	0.0335	0.4834	2.6015	0.0931	-0.1589	2.9819	-0.0222	-0.0263	3.0237	0.2961	0.4547	2.5085	-0.1803	0.4305	2.465	0.0478	0.9642	2.1205	-0.0362	0.4785	2.5653	0		0.4448	0.4857	42.48319188
3.467	0.0395	0.4791	2.5955	0.0933	-0.1597	2.9819	-0.0219	-0.0257	3.0119	0.3	0.4467	2.4945	-0.1795	0.4304	2.4645	0.052	0.9595	2.1137	-0.0308	0.4747	2.5603	0		0.4466	0.4848	42.65141421
3.5	0.0424	0.4763	2.5907	0.0939	-0.1592	2.9782	-0.027	-0.0527	2.9863	0.3047	0.44	2.4861	-0.1779	0.4299	2.4626	0.0549	0.9545	2.1042	-0.028	0.4719	2.5563	0		0.4521	0.4826	43.13105656
3.535	0.0444	0.4748	2.5876	0.0955	-0.1561	2.974	-0.0267	-0.0556	2.9811	0.3079	0.4356	2.4796	-0.1766	0.4307	2.4613	0.0572	0.9495	2.0972	-0.0259	0.4702	2.5533	0		0.4561	0.4793	43.57922854
3.567	0.0446	0.4722	2.5834	0.0964	-0.16	2.975	-0.0303	-0.0747	2.9659	0.3131	0.4291	2.4682	-0.176	0.431	2.4597	0.0594	0.9457	2.0908	-0.0257	0.4676	2.549	0		0.4582	0.4781	43.78242617
3.6	0.0464	0.4692	2.5797	0.0963	-0.1602	2.9748	-0.038	-0.09	2.9567	0.3157	0.4247	2.4627	-0.1749	0.4295	2.4576	0.061	0.9418	2.0835	-0.024	0.465	2.5457	0		0.4622	0.4768	44.10921088
